,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
0,tt0376136,6.2,94787.0,The Rum Diary,2011,119.0,"Comedy,Drama",16.0,"Oct 28, 2011",45000000.0,13109815.0,21544732.0,-23455268.0,0.6084928324938087,-0.5212281777777777,2011.0,False
1,tt0427152,5.9,91546.0,Dinner for Schmucks,2010,114.0,Comedy,51.0,"Jul 30, 2010",69000000.0,73026337.0,86796502.0,17796502.0,0.8413511526075095,0.2579203188405797,2010.0,False
2,tt0443465,6.8,45181.0,Before We Go,2014,95.0,"Comedy,Drama,Romance",52.0,"Sep 4, 2015",3000000.0,37151.0,483938.0,-2516062.0,0.07676809839276932,-0.8386873333333333,2015.0,False
4,tt0455407,6.5,104465.0,The Crazies,2010,101.0,"Horror,Thriller",36.0,"Feb 26, 2010",19000000.0,39123589.0,56445534.0,37445534.0,0.6931210713676657,1.9708175789473685,2010.0,False
6,tt0466893,6.5,14708.0,Margaret,2011,150.0,Drama,27.0,"Sep 30, 2011",14000000.0,47185.0,623292.0,-13376708.0,0.07570288083273971,-0.9554791428571429,2011.0,False
7,tt0480687,5.9,113775.0,Hall Pass,2011,105.0,"Comedy,Romance",57.0,"Feb 25, 2011",68000000.0,45060734.0,87173475.0,19173475.0,0.5169087729954553,0.2819628676470588,2011.0,False
8,tt0491152,5.9,54314.0,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",72.0,"May 6, 2011",35000000.0,39046489.0,65084116.0,30084116.0,0.5999388391477883,0.8595461714285715,2011.0,False
11,tt0763831,5.9,36387.0,A Thousand Words,2012,91.0,"Comedy,Drama",1.0,"Mar 9, 2012",40000000.0,18450127.0,20790486.0,-19209514.0,0.8874312510058687,-0.48023785,2012.0,False
12,tt0770703,6.1,67922.0,What's Your Number?,2011,106.0,"Comedy,Romance",24.0,"Sep 30, 2011",20000000.0,14011084.0,30163785.0,10163785.0,0.46450019452134406,0.50818925,2011.0,False
14,tt0804497,7.1,125583.0,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",1.0,"Oct 8, 2010",8000000.0,6363628.0,6632950.0,-1367050.0,0.9593963470250794,-0.17088125,2010.0,False
15,tt0810913,3.3,71361.0,Jack and Jill,2011,91.0,Comedy,11.0,"Nov 11, 2011",79000000.0,74158157.0,150519217.0,71519217.0,0.4926823197598749,0.9053065443037974,2011.0,False
16,tt0810922,6.3,48393.0,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",48.0,"Mar 4, 2011",19000000.0,6928068.0,7576604.0,-11423396.0,0.9144028116026652,-0.6012313684210526,2011.0,False
17,tt0815236,6.4,117245.0,She's Out of My League,2010,104.0,"Comedy,Romance",62.0,"Mar 12, 2010",20000000.0,32010860.0,48680977.0,28680977.0,0.6575640419049108,1.43404885,2010.0,False
18,tt0817177,7.7,74937.0,Flipped,2010,90.0,"Comedy,Drama,Romance",22.0,"Aug 6, 2010",14000000.0,1755212.0,4289993.0,-9710007.0,0.4091409939363537,-0.6935719285714286,2010.0,False
19,tt0817230,5.7,107171.0,Valentine's Day,2010,125.0,"Comedy,Romance",70.0,"Feb 12, 2010",52000000.0,110485654.0,217569328.0,165569328.0,0.5078181516468167,3.1840255384615386,2010.0,True
20,tt0842926,7.0,120656.0,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",87.0,"Jul 9, 2010",4000000.0,20811365.0,36275469.0,32275469.0,0.5737035405386488,8.06886725,2010.0,True
21,tt0878835,6.6,10652.0,Please Give,2010,87.0,"Comedy,Drama",15.0,"Apr 30, 2010",3000000.0,4033574.0,4570178.0,1570178.0,0.8825857548655655,0.5233926666666666,2010.0,False
