,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
14,tt0249516,1.9,8248.0,Foodfight!,2012,91.0,"Action,Animation,Comedy",26.0,"Dec 31, 2012",45000000.0,0.0,73706.0,-44926294.0,0.0,-0.9983620888888889,2012.0,False
30,tt0337692,6.1,37886.0,On the Road,2012,124.0,"Adventure,Drama,Romance",17.0,"Mar 22, 2013",25000000.0,720828.0,9313302.0,-15686698.0,0.07739768344245682,-0.62746792,2013.0,False
34,tt0359950,7.3,275300.0,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",37.0,"Dec 25, 2013",91000000.0,58236838.0,187861183.0,96861183.0,0.3099993147599842,1.0644086043956045,2013.0,True
38,tt0365907,6.5,105116.0,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",67.0,"Sep 19, 2014",28000000.0,26017685.0,62108587.0,34108587.0,0.41890640661330775,1.2181638214285715,2014.0,True
39,tt0369610,7.0,539338.0,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",34.0,"Jun 12, 2015",215000000.0,652270625.0,1648854864.0,1433854864.0,0.39559007844852984,6.669092390697674,2015.0,True
41,tt0376136,6.2,94787.0,The Rum Diary,2011,119.0,"Comedy,Drama",16.0,"Oct 28, 2011",45000000.0,13109815.0,21544732.0,-23455268.0,0.6084928324938087,-0.5212281777777777,2011.0,False
45,tt0383010,5.1,28570.0,The Three Stooges,2012,92.0,"Comedy,Family",4.0,"Apr 13, 2012",30000000.0,44338224.0,54052249.0,24052249.0,0.8202845361716586,0.8017416333333334,2012.0,False
48,tt0398286,7.8,366366.0,Tangled,2010,100.0,"Adventure,Animation,Comedy",15.0,"Nov 24, 2010",260000000.0,200821936.0,586477240.0,326477240.0,0.3424206811503887,1.2556816923076923,2010.0,True
50,tt0401729,6.6,241792.0,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",14.0,"Mar 9, 2012",275000000.0,73058679.0,282778100.0,7778100.0,0.258360456485138,0.028284,2012.0,False
66,tt0427152,5.9,91546.0,Dinner for Schmucks,2010,114.0,Comedy,51.0,"Jul 30, 2010",69000000.0,73026337.0,86796502.0,17796502.0,0.8413511526075095,0.2579203188405797,2010.0,False
68,tt0429493,6.8,235256.0,The A-Team,2010,117.0,"Action,Adventure,Thriller",32.0,"Jun 11, 2010",110000000.0,77222099.0,177241171.0,67241171.0,0.43568939747074903,0.6112833727272727,2010.0,False
70,tt0431021,5.9,53649.0,The Possession,2012,92.0,"Horror,Mystery,Thriller",81.0,"Aug 31, 2012",14000000.0,49130588.0,82925064.0,68925064.0,0.5924697025256441,4.9232188571428575,2012.0,True
72,tt0433035,7.1,283534.0,Real Steel,2011,127.0,"Action,Drama,Family",31.0,"Oct 7, 2011",110000000.0,85463309.0,263880341.0,153880341.0,0.32387145126510203,1.398912190909091,2011.0,True
75,tt0435651,6.5,104999.0,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",2.0,"Aug 15, 2014",25000000.0,45090374.0,66540205.0,41540205.0,0.6776410442378409,1.6616082,2014.0,True
76,tt0435761,8.3,682218.0,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",47.0,"Jun 18, 2010",200000000.0,415004880.0,1068879522.0,868879522.0,0.3882616061569566,4.34439761,2010.0,True
78,tt0437086,7.5,88207.0,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",24.0,"Feb 14, 2019",170000000.0,85710210.0,402976036.0,232976036.0,0.21269306942113053,1.3704472705882353,2019.0,True
81,tt0443272,7.4,228701.0,Lincoln,2012,150.0,"Biography,Drama,History",73.0,"Nov 9, 2012",65000000.0,182207973.0,273346281.0,208346281.0,0.6665829596562172,3.2053274,2012.0,True
83,tt0443465,6.8,45181.0,Before We Go,2014,95.0,"Comedy,Drama,Romance",52.0,"Sep 4, 2015",3000000.0,37151.0,483938.0,-2516062.0,0.07676809839276932,-0.8386873333333333,2015.0,False
84,tt0443533,6.3,1024.0,The History of Love,2016,134.0,"Drama,Romance,War",12.0,"Nov 18, 2016",20000000.0,0.0,476624.0,-19523376.0,0.0,-0.9761688,2016.0,False
