,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
39,tt0369610,7.0,539338.0,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",34.0,"Jun 12, 2015",215000000.0,652270625.0,1648854864.0,1433854864.0,0.39559007844852984,6.669092390697674,2015.0,True
50,tt0401729,6.6,241792.0,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",14.0,"Mar 9, 2012",275000000.0,73058679.0,282778100.0,7778100.0,0.258360456485138,0.028284,2012.0,False
68,tt0429493,6.8,235256.0,The A-Team,2010,117.0,"Action,Adventure,Thriller",32.0,"Jun 11, 2010",110000000.0,77222099.0,177241171.0,67241171.0,0.43568939747074903,0.6112833727272727,2010.0,False
72,tt0433035,7.1,283534.0,Real Steel,2011,127.0,"Action,Drama,Family",31.0,"Oct 7, 2011",110000000.0,85463309.0,263880341.0,153880341.0,0.32387145126510203,1.398912190909091,2011.0,True
78,tt0437086,7.5,88207.0,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",24.0,"Feb 14, 2019",170000000.0,85710210.0,402976036.0,232976036.0,0.21269306942113053,1.3704472705882353,2019.0,True
89,tt0448115,7.4,109051.0,Shazam!,2019,132.0,"Action,Adventure,Comedy",97.0,"Apr 5, 2019",85000000.0,139606856.0,362899733.0,277899733.0,0.3846981502188099,3.269408623529412,2019.0,True
90,tt0448694,6.6,133355.0,Puss in Boots,2011,90.0,"Action,Adventure,Animation",46.0,"Oct 28, 2011",130000000.0,149260504.0,554987477.0,424987477.0,0.26894391348581725,3.2691344384615384,2011.0,True
95,tt0451279,7.5,487527.0,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",55.0,"Jun 2, 2017",150000000.0,412563408.0,821133378.0,671133378.0,0.5024316622043343,4.47422252,2017.0,True
105,tt0458339,6.9,668137.0,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",10.0,"Jul 22, 2011",140000000.0,176654505.0,370569776.0,230569776.0,0.4767105048523979,1.6469269714285715,2011.0,True
132,tt0471042,6.2,125102.0,Tower Heist,2011,104.0,"Action,Comedy,Crime",5.0,"Nov 4, 2011",85000000.0,78046570.0,150422946.0,65422946.0,0.5188475034919207,0.7696817176470588,2011.0,False
139,tt0477080,6.8,173019.0,Unstoppable,2010,98.0,"Action,Thriller",19.0,"Nov 12, 2010",95000000.0,81562942.0,165720921.0,70720921.0,0.4921704604815707,0.7444307473684211,2010.0,False
143,tt0478970,7.3,501213.0,Ant-Man,2015,117.0,"Action,Adventure,Comedy",43.0,"Jul 17, 2015",130000000.0,180202163.0,518858449.0,388858449.0,0.3473050566051397,2.9912188384615384,2015.0,True
151,tt0481499,7.2,176699.0,The Croods,2013,98.0,"Action,Adventure,Animation",26.0,"Mar 22, 2013",135000000.0,187168425.0,573068425.0,438068425.0,0.32660746402142116,3.2449512962962963,2013.0,True
191,tt0770828,7.1,647288.0,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",29.0,"Jun 14, 2013",225000000.0,291045518.0,667999518.0,442999518.0,0.4356971976138462,1.9688867466666666,2013.0,True
213,tt0790736,5.6,109078.0,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",55.0,"Jul 19, 2013",130000000.0,33618855.0,79076678.0,-50923322.0,0.4251424800621999,-0.39171786153846155,2013.0,False
221,tt0800320,5.8,256176.0,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",72.0,"Apr 1, 2010",125000000.0,163214888.0,493214888.0,368214888.0,0.33092044050381547,2.945719104,2010.0,True
224,tt0800369,7.0,683264.0,Thor,2011,115.0,"Action,Adventure,Fantasy",70.0,"May 6, 2011",150000000.0,181030624.0,449326618.0,299326618.0,0.40289316668081304,1.9955107866666666,2011.0,True
226,tt0803096,6.9,225557.0,Warcraft,2016,123.0,"Action,Adventure,Fantasy",46.0,"Jun 10, 2016",160000000.0,47225655.0,425522281.0,265522281.0,0.11098280186179017,1.65951425625,2016.0,True
248,tt0816462,5.2,90834.0,Conan the Barbarian,2011,113.0,"Action,Adventure,Fantasy",76.0,"Aug 19, 2011",90000000.0,21295021.0,63356133.0,-26643867.0,0.336116173630736,-0.2960429666666667,2011.0,False
251,tt0816711,7.0,553751.0,World War Z,2013,116.0,"Action,Adventure,Horror",69.0,"Jun 21, 2013",190000000.0,202359711.0,531514650.0,341514650.0,0.3807227345473921,1.7974455263157896,2013.0,True
