,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
70,tt0431021,5.9,53649.0,The Possession,2012,92.0,"Horror,Mystery,Thriller",81.0,"Aug 31, 2012",14000000.0,49130588.0,82925064.0,68925064.0,0.5924697025256441,4.9232188571428575,2012.0,True
102,tt0455407,6.5,104465.0,The Crazies,2010,101.0,"Horror,Thriller",36.0,"Feb 26, 2010",19000000.0,39123589.0,56445534.0,37445534.0,0.6931210713676657,1.9708175789473685,2010.0,True
122,tt0464154,5.4,81327.0,Piranha 3D,2010,88.0,"Comedy,Horror",52.0,"Aug 20, 2010",24000000.0,25003155.0,83660160.0,59660160.0,0.2988657325063686,2.48584,2010.0,True
177,tt0498381,4.5,34151.0,Rings,2017,102.0,"Drama,Horror,Mystery",38.0,"Feb 3, 2017",25000000.0,27793018.0,82917283.0,57917283.0,0.3351896853639066,2.31669132,2017.0,True
203,tt0780653,5.8,97873.0,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",91.0,"Feb 12, 2010",150000000.0,62189884.0,142634358.0,-7365642.0,0.4360091416403333,-0.04910428,2010.0,False
251,tt0816711,7.0,553751.0,World War Z,2013,116.0,"Action,Adventure,Horror",69.0,"Jun 21, 2013",190000000.0,202359711.0,531514650.0,341514650.0,0.3807227345473921,1.7974455263157896,2013.0,True
274,tt0837563,6.0,34472.0,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",61.0,"Apr 5, 2019",21000000.0,54724696.0,109501146.0,88501146.0,0.49976368283853395,4.214340285714286,2019.0,True
315,tt0872230,4.8,18381.0,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",68.0,"Oct 8, 2010",25000000.0,14744435.0,16727470.0,-8272530.0,0.8814503926774342,-0.3309012,2010.0,False
316,tt0873886,6.2,59266.0,Red State,2011,88.0,"Action,Crime,Horror",22.0,"Sep 23, 2011",4000000.0,1065429.0,1983596.0,-2016404.0,0.537119957894652,-0.504101,2011.0,False
354,tt0905372,6.2,111900.0,The Thing,2011,103.0,"Horror,Mystery,Sci-Fi",77.0,"Oct 14, 2011",38000000.0,16999934.0,27573078.0,-10426922.0,0.6165410332498968,-0.2743926842105263,2011.0,False
394,tt0954947,6.1,31727.0,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",11.0,"Jun 18, 2010",13000000.0,217277.0,3617277.0,-9382723.0,0.06006645330175157,-0.721747923076923,2010.0,False
722,tt1029360,4.9,51538.0,Poltergeist,2015,93.0,"Horror,Thriller",62.0,"May 22, 2015",35000000.0,47425125.0,95713069.0,60713069.0,0.49549267927037216,1.7346591142857142,2015.0,True
750,tt1034415,6.8,37360.0,Suspiria,2018,152.0,"Fantasy,Horror,Mystery",81.0,"Oct 26, 2018",20000000.0,2483472.0,7034615.0,-12965385.0,0.3530359515055195,-0.64826925,2018.0,False
768,tt1038686,5.2,92709.0,Legion,2010,100.0,"Action,Fantasy,Horror",37.0,"Jan 22, 2010",26000000.0,40168080.0,67647574.0,41647574.0,0.5937844866395356,1.6018297692307693,2010.0,True
848,tt1077368,6.2,229818.0,Dark Shadows,2012,113.0,"Comedy,Fantasy,Horror",89.0,"May 11, 2012",150000000.0,79727149.0,238202668.0,88202668.0,0.33470300592938784,0.5880177866666667,2012.0,False
859,tt1082807,6.1,38378.0,The Belko Experiment,2016,89.0,"Horror,Thriller",21.0,"Mar 17, 2017",5000000.0,10166820.0,11792942.0,6792942.0,0.8621105742740022,1.3585884,2017.0,True
